States,Total Cases,Recovered,Deaths ( more than 70% cases due to comorbidities ),Date,Latitude,Longitude
Andaman and Nicobar Islands,33,32,0,2020-05-05,11.7401,92.6586
Andhra Pradesh,1650,524,36,2020-05-05,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-05-05,28.218,94.7278
Assam,43,32,1,2020-05-05,26.2006,92.9376
Bihar,528,130,4,2020-05-05,25.0961,85.3131
Chandigarh,102,21,1,2020-05-05,30.7333,76.7794
Chhattisgarh,58,36,0,2020-05-05,21.2787,81.8661
Delhi,4898,1431,64,2020-05-05,28.7041,77.1025
Goa,7,7,0,2020-05-05,15.2993,74.124
Gujarat,5804,1195,319,2020-05-05,22.2587,71.1924
Haryana,517,254,6,2020-05-05,29.0588,76.0856
Himachal Pradesh,41,34,1,2020-05-05,31.1048,77.1734
Jammu and Kashmir,726,303,8,2020-05-05,33.7782,76.5762
Jharkhand,115,27,3,2020-05-05,23.6102,85.2799
Karnataka,651,321,27,2020-05-05,15.3173,75.7139
Kerala,500,462,4,2020-05-05,10.8505,76.2711
Ladakh,41,17,0,2020-05-05,34.2996,78.2932
Madhya Pradesh,2942,798,165,2020-05-05,22.9734,78.6569
Maharashtra,14541,2465,583,2020-05-05,19.7515,75.7139
Manipur,2,2,0,2020-05-05,24.6637,93.9063
Meghalaya,12,0,1,2020-05-05,25.467,91.3662
Mizoram,1,0,0,2020-05-05,23.1645,92.9376
Odisha,169,60,1,2020-05-05,20.9517,85.0985
Puducherry,8,5,0,2020-05-05,11.9416,79.8083
Punjab,1233,121,23,2020-05-05,31.1471,75.3412
Rajasthan,3061,1394,77,2020-05-05,27.0238,74.2179
Tamil Nadu,3550,1409,31,2020-05-05,11.1271,78.6569
Telengana,1085,585,29,2020-05-05,18.1124,79.0193
Tripura,29,2,0,2020-05-05,23.9408,91.9882
Uttarakhand,60,39,1,2020-05-05,30.0668,79.0193
Uttar Pradesh,2766,802,50,2020-05-05,26.8467,80.9462
