States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,170,0,240,2020-07-24,11.7401,92.6586
Andhra Pradesh,37555,884,72711,2020-07-24,15.9129,79.74
Arunachal Pradesh,334,3,991,2020-07-24,28.218,94.7278
Assam,20699,70,28791,2020-07-24,26.2006,92.9376
Bihar,20769,217,31980,2020-07-24,25.0961,85.3131
Chandigarh,531,13,800,2020-07-24,30.7333,76.7794
Chhattisgarh,4377,30,6254,2020-07-24,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,489,2,770,2020-07-24,,
Delhi,109065,3745,127364,2020-07-24,28.7041,77.1025
Goa,2655,29,4350,2020-07-24,15.2993,74.124
Gujarat,37978,2252,52477,2020-07-24,22.2587,71.1924
Haryana,22249,378,28975,2020-07-24,29.0588,76.0856
Himachal Pradesh,1136,11,1834,2020-07-24,31.1048,77.1734
Jammu and Kashmir,8709,282,16429,2020-07-24,33.7782,76.5762
Jharkhand,3174,67,6975,2020-07-24,23.6102,85.2799
Karnataka,29310,1616,80863,2020-07-24,15.3173,75.7139
Kerala,6594,50,16110,2020-07-24,10.8505,76.2711
Ladakh,1025,2,1210,2020-07-24,34.2996,78.2932
Madhya Pradesh,17359,780,25474,2020-07-24,22.9734,78.6569
Maharashtra,194253,12854,347502,2020-07-24,19.7515,75.7139
Manipur,1466,0,2115,2020-07-24,24.6637,93.9063
Meghalaya,78,4,534,2020-07-24,25.467,91.3662
Mizoram,183,0,332,2020-07-24,23.1645,92.9376
Nagaland,530,0,1174,2020-07-24,26.1584,94.5624
Odisha,14393,114,21099,2020-07-24,20.9517,85.0985
Puducherry,1400,34,2420,2020-07-24,11.9416,79.8083
Punjab,7741,277,11739,2020-07-24,31.1471,75.3412
Rajasthan,23815,594,33220,2020-07-24,27.0238,74.2179
Sikkim,122,0,460,2020-07-24,,
Tamil Nadu,136793,3232,192964,2020-07-24,11.1271,78.6569
Telangana,39327,447,50826,2020-07-24,,
Tripura,2072,10,3656,2020-07-24,23.9408,91.9882
Uttarakhand,3399,60,5445,2020-07-24,30.0668,79.0193
Uttar Pradesh,35803,1289,58104,2020-07-24,26.8467,80.9462
