Date,Death,Latitude,Longitude,Recovered,States,Total Cases,Active
2020-04-21,0,11.7401,92.6586,11,Andaman and Nicobar Islands,16,5
2020-04-21,22,15.9129,79.74,96,Andhra Pradesh,757,639
2020-04-21,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-21,1,26.2006,92.9376,19,Assam,35,15
2020-04-21,2,25.0961,85.3131,42,Bihar,114,70
2020-04-21,0,30.7333,76.7794,13,Chandigarh,26,13
2020-04-21,0,21.2787,81.8661,25,Chhattisgarh,36,11
2020-04-21,47,28.7041,77.1025,431,Delhi,2081,1603
2020-04-21,0,15.2993,74.124,7,Goa,7,0
2020-04-21,77,22.2587,71.1924,131,Gujarat,2066,1858
2020-04-21,3,29.0588,76.0856,127,Haryana,254,124
2020-04-21,1,31.1048,77.1734,16,Himachal Pradesh,39,22
2020-04-21,5,33.7782,76.5762,71,Jammu and Kashmir,368,292
2020-04-21,2,23.6102,85.2799,0,Jharkhand,46,44
2020-04-21,17,15.3173,75.7139,114,Karnataka,415,284
2020-04-21,3,10.8505,76.2711,291,Kerala,408,114
2020-04-21,0,34.2996,78.2932,14,Ladakh,18,4
2020-04-21,76,22.9734,78.6569,127,Madhya Pradesh,1540,1337
2020-04-21,232,19.7515,75.7139,572,Maharashtra,4669,3865
2020-04-21,0,24.6637,93.9063,2,Manipur,2,0
2020-04-21,1,25.467,91.3662,0,Meghalaya,11,10
2020-04-21,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-21,0,26.1584,94.5624,0,Nagaland,0,0
2020-04-21,1,20.9517,85.0985,24,Odisha,74,49
2020-04-21,0,11.9416,79.8083,3,Puducherry,7,4
2020-04-21,16,31.1471,75.3412,39,Punjab,245,190
2020-04-21,25,27.0238,74.2179,205,Rajasthan,1576,1346
2020-04-21,17,11.1271,78.6569,457,Tamil Nadu,1520,1046
2020-04-21,23,18.1124,79.0193,190,Telengana,919,706
2020-04-21,0,23.9408,91.9882,1,Tripura,2,1
2020-04-21,20,26.8467,80.9462,140,Uttar Pradesh,1294,1134
2020-04-21,0,30.0668,79.0193,18,Uttarakhand,46,28
2020-04-21,12,22.9868,87.855,73,West Bengal,392,307
2020-04-22,0,11.7401,92.6586,11,Andaman and Nicobar Islands,16,5
2020-04-22,22,15.9129,79.74,96,Andhra Pradesh,757,639
2020-04-22,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-22,1,26.2006,92.9376,19,Assam,35,15
2020-04-22,2,25.0961,85.3131,42,Bihar,126,82
2020-04-22,0,30.7333,76.7794,14,Chandigarh,27,13
2020-04-22,0,21.2787,81.8661,26,Chhattisgarh,36,10
2020-04-22,47,28.7041,77.1025,611,Delhi,2156,1498
2020-04-22,0,15.2993,74.124,7,Goa,7,0
2020-04-22,90,22.2587,71.1924,139,Gujarat,2178,1949
2020-04-22,3,29.0588,76.0856,127,Haryana,254,124
2020-04-22,1,31.1048,77.1734,16,Himachal Pradesh,39,22
2020-04-22,5,33.7782,76.5762,81,Jammu and Kashmir,380,294
2020-04-22,3,,,0,Jharkhand#,45,42
2020-04-22,17,15.3173,75.7139,129,Karnataka,418,272
2020-04-22,3,10.8505,76.2711,307,Kerala,427,117
2020-04-22,0,34.2996,78.2932,14,Ladakh,18,4
2020-04-22,76,22.9734,78.6569,148,Madhya Pradesh,1552,1328
2020-04-22,251,19.7515,75.7139,722,Maharashtra,5218,4245
2020-04-22,0,24.6637,93.9063,2,Manipur,2,0
2020-04-22,1,25.467,91.3662,0,Meghalaya,12,11
2020-04-22,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-22,1,20.9517,85.0985,24,Odisha,79,54
2020-04-22,0,11.9416,79.8083,3,Puducherry,7,4
2020-04-22,16,31.1471,75.3412,39,Punjab,245,190
2020-04-22,25,27.0238,74.2179,230,Rajasthan,1659,1404
2020-04-22,18,11.1271,78.6569,635,Tamil Nadu,1596,943
2020-04-22,23,18.1124,79.0193,194,Telengana,928,711
2020-04-22,0,23.9408,91.9882,1,Tripura,2,1
2020-04-22,20,26.8467,80.9462,140,Uttar Pradesh,1294,1134
2020-04-22,0,30.0668,79.0193,19,Uttarakhand,46,27
2020-04-22,15,22.9868,87.855,73,West Bengal,423,335
2020-04-23,0,11.7401,92.6586,11,Andaman and Nicobar Islands,18,7
2020-04-23,24,15.9129,79.74,120,Andhra Pradesh,813,669
2020-04-23,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-23,1,26.2006,92.9376,19,Assam,35,15
2020-04-23,2,25.0961,85.3131,46,Bihar,143,95
2020-04-23,0,30.7333,76.7794,14,Chandigarh,27,13
2020-04-23,0,21.2787,81.8661,26,Chhattisgarh,36,10
2020-04-23,48,28.7041,77.1025,724,Delhi,2248,1476
2020-04-23,0,15.2993,74.124,7,Goa,7,0
2020-04-23,103,22.2587,71.1924,179,Gujarat,2407,2125
2020-04-23,3,29.0588,76.0856,140,Haryana,262,119
2020-04-23,1,31.1048,77.1734,18,Himachal Pradesh,40,21
2020-04-23,5,33.7782,76.5762,92,Jammu and Kashmir,407,310
